Date,year,census,Plot,Subplot,VWC-percent
6/26/17,2017,3,1,D3,3.4
6/26/17,2017,3,2,A1,4.6
6/26/17,2017,3,2,A2,3.6
6/26/17,2017,3,2,A3,3.4
6/26/17,2017,3,2,B1,0.8
6/26/17,2017,3,2,B2,5
6/26/17,2017,3,2,B3,1.3
6/26/17,2017,3,2,C1,6.4
6/26/17,2017,3,2,C2,4.2
6/26/17,2017,3,2,C3,6.2
6/26/17,2017,3,2,D1,6
6/26/17,2017,3,2,D2,3.3
6/26/17,2017,3,2,D3,5.8
6/26/17,2017,3,3,A1,6.8
6/26/17,2017,3,3,A2,2.3
6/26/17,2017,3,3,A3,8.2
6/26/17,2017,3,3,B1,3.4
6/26/17,2017,3,3,B2,3.7
6/26/17,2017,3,3,B3,4.6
6/26/17,2017,3,3,C1,8.7
6/26/17,2017,3,3,C2,7.4
6/26/17,2017,3,3,C3,7
6/26/17,2017,3,3,D1,6.2
6/26/17,2017,3,3,D2,5.9
6/26/17,2017,3,3,D3,5
6/26/17,2017,3,5,A1,4.2
6/26/17,2017,3,5,A2,1.6
6/26/17,2017,3,5,A3,0.2
6/26/17,2017,3,5,B1,3.6
6/26/17,2017,3,5,B2,7.2
6/26/17,2017,3,5,B3,4
6/26/17,2017,3,5,C1,9.2
6/26/17,2017,3,5,C2,5.8
6/26/17,2017,3,5,C3,7.8
6/26/17,2017,3,5,D1,2.6
6/26/17,2017,3,5,D2,10
6/26/17,2017,3,5,D3,2.2
6/26/17,2017,3,7,A1,5
6/26/17,2017,3,7,A2,7.3
6/26/17,2017,3,7,A3,5.8
6/26/17,2017,3,7,B1,1
6/26/17,2017,3,7,B2,4.5
6/26/17,2017,3,7,B3,5.4
6/26/17,2017,3,7,C1,3.5
6/26/17,2017,3,7,C2,4
6/26/17,2017,3,7,C3,6
6/26/17,2017,3,7,D1,3
6/26/17,2017,3,7,D2,5
6/26/17,2017,3,7,D3,7.4
6/26/17,2017,3,8,A1,4.2
6/26/17,2017,3,8,A2,5.1
6/26/17,2017,3,8,A3,8.8
6/26/17,2017,3,8,B1,9.4
6/26/17,2017,3,8,B2,7.7
6/26/17,2017,3,8,B3,9.2
6/26/17,2017,3,8,C1,6
6/26/17,2017,3,8,C2,6.4
6/26/17,2017,3,8,C3,9.8
6/26/17,2017,3,8,D1,8.2
6/26/17,2017,3,8,D2,9
6/26/17,2017,3,8,D3,7.4
6/26/17,2017,3,9,A1,12.6
6/26/17,2017,3,9,A2,11.8
6/26/17,2017,3,9,A3,6.8
6/26/17,2017,3,9,B1,6.8
6/26/17,2017,3,9,B2,8.2
6/26/17,2017,3,9,B3,9.6
6/26/17,2017,3,9,C1,6
6/26/17,2017,3,9,C2,5.4
6/26/17,2017,3,9,C3,5.6
6/26/17,2017,3,9,D1,6.3
6/26/17,2017,3,9,D2,7.8
6/26/17,2017,3,9,D3,10
6/26/17,2017,3,10,A1,4.2
6/26/17,2017,3,10,A2,8.8
6/26/17,2017,3,10,A3,6.4
6/26/17,2017,3,10,B1,3.8
6/26/17,2017,3,10,B2,4.8
6/26/17,2017,3,10,B3,5.4
6/26/17,2017,3,10,C1,4.8
6/26/17,2017,3,10,C2,6.4
6/26/17,2017,3,10,C3,4.2
6/26/17,2017,3,10,D1,5.8
6/26/17,2017,3,10,D2,5.6
6/26/17,2017,3,10,D3,7
