year,Plot,Plot Treatment,Subplot,Subplot initial planting Treatment,Quad,max ht cm.,max ht sp.,small mammal holes,bare,thatch,Number of survivors from original plantings Aica,Number of survivors from original plantings Anar,Number of survivors from original plantings Avena,Number of survivors from original plantings Baca,Bado,Bapi,Brca,Brdi,Brho,Brmi,Care,Carp,Cheno,Civu,Coca,Cyper,Cyper sp2,Daca,Daca INDIV,Elgl,Elgl INDIV,flat sedge,Gedi,Ger sp,Gna,Hepu,Hobr,Homu,Hypo,Isce,Jubu,Junc sp,Junc sp.2,Jume,Juoc,jupa,Lomu,Lope,Lyhy,Malva,Mepo,Moss,Myopo,Napu,Napu INDIV,Soil moisture,Phaq %,Phaq Tiller,Poly,Rasa,Ruac,Rucr,Sedge,Sil,Sima,Sonch,Spma,Stbu,Trifol sp,Unid forb*,unID grass*,Ver,Vumy,Notes:
2017,5,Till/Spray,D,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2017,5,Till/Spray,D,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,27,,,,,,,,,,,,,,,,
2017,5,Till/Spray,D,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18,,,,,,,,,,,,,,,,
2017,5,Till/Spray,D,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,30,,,,,,,,,,,,,,,,
2017,5,Till/Spray,D,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,56,,,,,,,,,,,,,,,,
2017,7,Plastic,A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,48,,,,,,,,,,,,,,,,
2017,7,Plastic,A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,37,,,,,,,,,,,,,,,,
2017,7,Plastic,A,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,20,,,,,,,,,,,,,,,,
2017,7,Plastic,A,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,42,,,,,,,,,,,,,,,,
2017,7,Plastic,A,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,,,,,,,,,,,,,,,,
2017,7,Plastic,B,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,,,,,,,,,,,,,,,,
2017,7,Plastic,B,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,53,,,,,,,,,,,,,,,,
2017,7,Plastic,B,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2017,7,Plastic,B,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2017,7,Plastic,B,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,28,,,,,,,,,,,,,,,,
2017,7,Plastic,C,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,44,,,,,,,,,,,,,,,,
2017,7,Plastic,C,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,
2017,7,Plastic,C,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,,,,,,,,,,,,,,,,
2017,7,Plastic,C,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,40,,,,,,,,,,,,,,,,
2017,7,Plastic,C,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,24,,,,,,,,,,,,,,,,
2017,7,Plastic,D,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,26,,,,,,,,,,,,,,,,
2017,7,Plastic,D,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,30,,,,,,,,,,,,,,,,
2017,7,Plastic,D,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,,,,,,,,,,,,,,,,
2017,7,Plastic,D,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,41,,,,,,,,,,,,,,,,
2017,7,Plastic,D,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,36,,,,,,,,,,,,,,,,
2017,8,Till/Spray,A,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,
2017,8,Till/Spray,A,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,,,,,,,,
2017,8,Till/Spray,A,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,,,,,,,,,,,,,,,,
2017,8,Till/Spray,A,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,,,,,,,,,,,,,,,,
2017,8,Till/Spray,A,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,,,,,,,,,,,,,,,
2017,8,Till/Spray,B,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,52,,,,,,,,,,,,,,,,
2017,8,Till/Spray,B,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,,,,,,,,,,,,,,,,
2017,8,Till/Spray,B,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,42,,,,,,,,,,,,,,,,
2017,8,Till/Spray,B,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,21,,,,,,,,,,,,,,,,
2017,8,Till/Spray,B,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,,,,,,,,,,,,,,,,
2017,8,Till/Spray,C,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,52,,,,,,,,,,,,,,,,
2017,8,Till/Spray,C,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,38,,,,,,,,,,,,,,,,
2017,8,Till/Spray,C,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,,,,,,,,,,,,,,,,
2017,8,Till/Spray,C,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,29,,,,,,,,,,,,,,,,
2017,8,Till/Spray,C,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,50,,,,,,,,,,,,,,,,
2017,8,Till/Spray,D,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,47,,,,,,,,,,,,,,,,
2017,8,Till/Spray,D,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,40,,,,,,,,,,,,,,,,
2017,8,Till/Spray,D,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,33,,,,,,,,,,,,,,,,
2017,8,Till/Spray,D,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,30,,,,,,,,,,,,,,,,
2017,8,Till/Spray,D,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2017,9,Plastic,A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,35,,,,,,,,,,,,,,,,
2017,9,Plastic,A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,,,,,,,,,,,,,,,,
2017,9,Plastic,A,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,,,,,,,,,,,,,,,,
2017,9,Plastic,A,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,36,,,,,,,,,,,,,,,,
2017,9,Plastic,A,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,,,,,,,,,,,,,,,,
2017,9,Plastic,B,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,43,,,,,,,,,,,,,,,,
2017,9,Plastic,B,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,38,,,,,,,,,,,,,,,,
2017,9,Plastic,B,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,43,,,,,,,,,,,,,,,,
2017,9,Plastic,B,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,28,,,,,,,,,,,,,,,,
2017,9,Plastic,B,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,,,,,,,,,,,,,,,,
2017,9,Plastic,C,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,,,,,,,,,,,,,,,,
2017,9,Plastic,C,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,29,,,,,,,,,,,,,,,,
2017,9,Plastic,C,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,43,,,,,,,,,,,,,,,,
2017,9,Plastic,C,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,47,,,,,,,,,,,,,,,,
2017,9,Plastic,C,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,46,,,,,,,,,,,,,,,,
2017,9,Plastic,D,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,38,,,,,,,,,,,,,,,,
2017,9,Plastic,D,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,30,,,,,,,,,,,,,,,,
2017,9,Plastic,D,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,57,,,,,,,,,,,,,,,,
2017,9,Plastic,D,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,32,,,,,,,,,,,,,,,,
2017,9,Plastic,D,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,39,,,,,,,,,,,,,,,,
2017,10,Till/Spray,A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,37,,,,,,,,,,,,,,,,
2017,10,Till/Spray,A,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2017,10,Till/Spray,A,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,60,,,,,,,,,,,,,,,,
2017,10,Till/Spray,A,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,31,,,,,,,,,,,,,,,,
2017,10,Till/Spray,A,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,
2017,10,Till/Spray,B,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,
2017,10,Till/Spray,B,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11,,,,,,,,,,,,,,,,
2017,10,Till/Spray,B,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2017,10,Till/Spray,B,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,59,,,,,,,,,,,,,,,,
2017,10,Till/Spray,B,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,45,,,,,,,,,,,,,,,,
